,names,urls,prices,state
0,Starlight Glamping: Tent 1- Stargazer (Sleeps 2),https://www.tentrr.com/explore/South-Carolina/Starlight-Glamping-Tent-1-Stargazer-Sleeps-2?start=&end=&number_of_people=2,125,South Carolina
1,Starlight Glamping: Tent 2- Orion (Sleeps 4),https://www.tentrr.com/explore/South-Carolina/Starlight-Glamping-Tent-2-Orion-Sleeps-4?start=&end=&number_of_people=2,135,South Carolina
2,Camp Stephens 1,https://www.tentrr.com/explore/South-Carolina/Camp-Stephens-1?start=&end=&number_of_people=2,130,South Carolina
3,Lake Robinson's Water Front campsites with Amenitiess,https://www.tentrr.com/explore/South-Carolina/Lake-Robinson-s-Water-Front-campsites-with-Amenitiess?start=&end=&number_of_people=2,24,South Carolina
4,Dockside Bluff on the Lake,https://www.tentrr.com/explore/South-Carolina/Dockside-Bluff-on-the-Lake?start=&end=&number_of_people=2,16,South Carolina
5,Phillips Church Road camping,https://www.tentrr.com/explore/South-Carolina/Phillips-Church-Road-camping?start=&end=&number_of_people=2,16,South Carolina
6,Camp Stephens Site 2,https://www.tentrr.com/explore/South-Carolina/Camp-Stephens-Site-2?start=&end=&number_of_people=2,130,South Carolina
7,Big Pine Peninsula,https://www.tentrr.com/explore/South-Carolina/Big-Pine-Peninsula?start=&end=&number_of_people=2,16,South Carolina
8,Calming Stream,https://www.tentrr.com/explore/South-Carolina/Calming-Stream?start=&end=&number_of_people=2,100,South Carolina
9,Tentrr @ Clemson Experimental Forest,https://www.tentrr.com/explore/South-Carolina/Tentrr-Clemson-Experimental-Forest?start=&end=&number_of_people=2,100,South Carolina
